system:index,mean,mean prior,mean pandemic
2018/01/01,3668.25712,5882.286748,5648.326188
2018/01/17,3374.401391,,
2018/02/02,3226.018513,,
2018/02/18,3530.984477,,
2018/03/06,3876.065125,,
2018/03/22,4211.813528,,
2018/04/07,4949.018835,,
2018/04/23,5809.518127,,
2018/05/09,6827.908262,,
2018/05/25,7292.792535,,
2018/06/10,7550.9432,,
2018/06/26,6938.037791,,
2018/07/12,7997.760426,,
2018/07/28,7999.937556,,
2018/08/13,7785.970358,,
2018/08/29,7439.85578,,
2018/09/14,7725.493766,,
2018/09/30,7444.718517,,
2018/10/16,6982.527539,,
2018/11/01,6531.601123,,
2018/11/17,5704.272142,,
2018/12/03,5006.0548,,
2018/12/19,4277.188339,,
2019/01/01,4102.161695,,
2019/01/17,3783.951921,,
2019/02/02,3804.487931,,
2019/02/18,3898.68935,,
2019/03/06,4197.985284,,
2019/03/22,4200.015872,,
2019/04/07,4858.734969,,
2019/04/23,5790.653506,,
2019/05/09,6575.840176,,
2019/05/25,7272.179686,,
2019/06/10,7119.001082,,
2019/06/26,6527.926919,,
2019/07/12,6549.174876,,
2019/07/28,8057.022703,,
2019/08/13,7653.936283,,
2019/08/29,7834.328899,,
2019/09/14,7853.378886,,
2019/09/30,7563.814656,,
2019/10/16,7092.092359,,
2019/11/01,6596.372229,,
2019/11/17,5834.764645,,
2019/12/03,5258.359616,,
2019/12/19,4894.013215,,
2020/01/01,4524.19508,,
2020/01/17,4355.542833,,
2020/02/02,4125.075447,,
2020/02/18,4166.299992,,
2020/03/05,4469.884478,,
2020/03/21,4841.497161,,
2020/04/06,5119.975926,,
2020/04/22,5663.388474,,
2020/05/08,6566.81853,,
2020/05/24,7385.54772,,
2020/06/09,7682.796557,,
2020/06/25,6461.977589,,
,,,
